start,stage,iteration,objective_mse_m2,max_step_m,accepted_fraction,trust_radius_m,max_abs_error_m
zero,l2,0,0.02571018631355298,0.08000000049935409,1.0,0.08,
zero,l2,1,0.005739356733764352,0.11200000024178872,1.0,0.11199999999999999,
zero,l2,2,0.004762379448334089,0.03821933111769277,0.5,0.15679999999999997,
zero,l2,3,0.004341710409392845,0.013618569740342007,0.5,0.09407999999999998,
zero,l2,4,0.00414288302784954,0.006612769910979754,0.5,0.056447999999999984,
zero,l2,5,0.004046173386267595,0.0033063849554875457,0.5,0.03386879999999999,
zero,l2,6,0.003998457772834549,0.001653192477742954,0.5,0.020321279999999994,
zero,l2,7,0.003974754894160711,0.0008265962388713799,0.5,0.012192767999999996,
zero,l2,8,0.003951153643049351,0.0008265962388773196,1.0,0.0073156607999999975,
zero,l2,9,0.003951153643049351,0.0,0.0,0.010241925119999997,
half-scaled-target,l2,0,0.007994725781030325,0.08000000048829353,1.0,0.08,
half-scaled-target,l2,1,0.00566097180008947,0.04718030994104522,0.5,0.11199999999999999,
half-scaled-target,l2,2,0.004730745321053755,0.02184900907826892,0.5,0.0672,
half-scaled-target,l2,3,0.004322088700861972,0.010924504539135294,0.5,0.040319999999999995,
half-scaled-target,l2,4,0.004131891768031006,0.005462252269567619,0.5,0.024191999999999995,
half-scaled-target,l2,5,0.004040336898651294,0.0027311261347831572,0.5,0.014515199999999995,
half-scaled-target,l2,6,0.0039954479853822255,0.0013655630673927166,0.5,0.008709119999999997,
half-scaled-target,l2,7,0.0039511569751446065,0.001365563067390968,1.0,0.005225471999999998,
half-scaled-target,l2,8,0.003951153773947708,3.73744245196761e-05,1.0,0.0073156607999999975,
half-scaled-target,l2,9,0.003951153770690458,8.674231862237924e-06,1.0,0.010241925119999997,
half-scaled-target,l2,10,0.003951153770690458,0.0,0.0,0.014338695167999994,
max-scaled-target,l2,0,0.006764034094916949,0.005000000000000615,0.0625,0.08,
max-scaled-target,l2,1,0.00653362076505998,0.003000000031066208,0.0625,0.048,
max-scaled-target,l2,2,0.006371360762368825,0.0018000000172660457,0.0625,0.0288,
max-scaled-target,l2,3,0.006159186436452785,0.0021600000231578736,0.125,0.01728,
max-scaled-target,l2,4,0.006026594082440517,0.0012960000185074927,0.125,0.010368,
max-scaled-target,l2,5,0.005862231585261944,0.0015552000991486958,0.25,0.0062208,
max-scaled-target,l2,6,0.0056644808667956825,0.0018662400659009426,0.5,0.00373248,
max-scaled-target,l2,7,0.00555131676055561,0.00111974426851702,0.5,0.002239488,
max-scaled-target,l2,8,0.0054858091942882195,0.0006718466651965127,0.5,0.0013436928,
max-scaled-target,l2,9,0.005409652657208268,0.0008062157259990377,1.0,0.0008062156799999999,
max-scaled-target,l2,10,0.005362882615926261,0.0005643510540248586,0.5,0.0011287019519999998,
max-scaled-target,l2,11,0.005307684156086981,0.0006772216257077135,1.0,0.0006772211711999999,
max-scaled-target,l2,12,0.005271097915952529,0.00047405510995363054,0.5,0.0009481096396799998,
max-scaled-target,l2,13,0.0052277262609546245,0.0005688659355470582,1.0,0.0005688657838079998,
max-scaled-target,l2,14,0.005168844644715376,0.0007964122309859212,1.0,0.0007964120973311998,
max-scaled-target,l2,15,0.005129156452352365,0.0005574886769733889,0.5,0.0011149769362636796,
max-scaled-target,l2,16,0.0050821775561916,0.0006689864522590738,1.0,0.0006689861617582077,
max-scaled-target,l2,17,0.005050551491138567,0.0004682906842386758,0.5,0.0009365806264614908,
max-scaled-target,l2,18,0.005013128715865799,0.0005619490668399563,1.0,0.0005619483758768944,
max-scaled-target,l2,19,0.004962908178595583,0.0007867280978180735,1.0,0.0007867277262276522,
max-scaled-target,l2,20,0.004928842150534193,0.0005507095639950277,0.5,0.0011014188167187131,
max-scaled-target,l2,21,0.004888563788967548,0.0006608514254905218,1.0,0.0006608512900312278,
max-scaled-target,l2,22,0.004861122410769388,0.0004625961460811845,0.5,0.0009251918060437189,
max-scaled-target,l2,23,0.004828572661817513,0.0005551156798028201,1.0,0.0005551150836262313,
max-scaled-target,l2,24,0.004784488275521818,0.0007771612202024936,1.0,0.0007771611170767237,
max-scaled-target,l2,25,0.004755004170172422,0.0005440127962064167,0.5,0.001088025563907413,
max-scaled-target,l2,26,0.004720194658882041,0.00065281590843011,1.0,0.0006528153383444478,
max-scaled-target,l2,27,0.004673510382917221,0.0009139416665392419,1.0,0.0009139414736822268,
max-scaled-target,l2,28,0.004642740260702704,0.0006397592987932021,0.5,0.0012795180631551175,
max-scaled-target,l2,29,0.004606508817930173,0.000767711230834689,1.0,0.0007677108378930705,
max-scaled-target,l2,30,0.004582260122139733,0.0005373976987580742,0.5,0.0010747951730502986,
max-scaled-target,l2,31,0.0045537165108991366,0.0006448778235126629,1.0,0.0006448771038301791,
max-scaled-target,l2,32,0.004515822703707338,0.0009028284534376707,1.0,0.0009028279453622508,
max-scaled-target,l2,33,0.004466003432342611,0.0012639594983748226,1.0,0.001263959123507151,
max-scaled-target,l2,34,0.004401915996274184,0.001769543200916615,1.0,0.0017695427729100112,
selected-l2,linf,0,0.003951154666651197,0.0005994093396375355,0.5,,0.1323676148092351
selected-l2,linf,1,0.003951157592183011,0.00025830477709085087,1.0,,0.13210931003214424
selected-l2,linf,2,0.003951157592183011,0.0,0.0,,0.13210931003214424
