feature,source_mean,target_mean,standardized_mean_shift
purchase_hhi,0.32052312221853624,0.2550944100519286,-0.2191437913538108
purchase_top5_share,0.7290139226848835,0.688390744046417,-0.17825432354022203
purchase_recent12_log,3.1051979820719935,3.5204473818395208,0.16115227182551517
sales_avg_abs_amount_log,10.372189950990352,10.596785782483623,0.15277757839010048
purchase_void_rate,0.027819080905654676,0.031738066653960145,0.1475238828969273
purchase_trend_norm,0.026295823699484504,0.03159962324974699,0.1376788318913497
purchase_recent_growth_log,-0.09298435501782822,0.05784654979501912,0.12927992453157322
purchase_counterparty_count_log,4.291458268086817,4.508534528520171,0.12716961587051892
purchase_positive_amount_log,14.585143783216784,14.999178374690127,0.12178809189292365
sales_negative_rate,0.025243663685039195,0.019882934697912802,-0.11687272178676016
business_scale_log,16.58629687276181,16.850641048395662,0.10986456804023294
purchase_signed_amount_asinh,4.1406950921170385,4.426320637247371,0.1063759054402998
purchase_avg_abs_amount_log,8.92741304780407,9.112567445682652,0.10593320546138943
sales_active_ratio,0.6515962720602817,0.6780810854466162,0.10510850086631986
purchase_invoice_count_log,5.709335256766468,5.924837744765521,0.0994639280023784
sales_signed_amount_asinh,5.329144804726525,5.567205143944098,0.09940603037924721
sales_positive_amount_log,16.17105317325636,16.398482258638566,0.09379217915266154
sales_purchase_log_ratio,1.5859093900395769,1.3993038839484353,-0.08767714696580024
sales_recent12_log,4.2156201111587235,4.419161113238582,0.08589257983182937
purchase_active_ratio,0.6724172119769979,0.6955257632046519,0.08360407682703493
sales_monthly_cv_log,0.8720207487302886,0.8468442373562692,-0.08022591062089612
sales_hhi,0.22576722794767948,0.24331169156370117,0.07586903821105179
sales_top5_share,0.6666344769354057,0.6856740145651481,0.07262121788170839
sales_void_rate,0.11990144002947788,0.12666165126275786,0.06252852112778352
purchase_monthly_cv_log,1.0087176654612304,0.9858594395231147,-0.05418286365868257
margin_proxy,0.42049481502073827,0.3970145913262177,-0.052040203721280584
sales_recent_growth_log,-0.013118814139039087,-0.06334056541190054,-0.051526302709802047
sales_trend_norm,0.025223006982296778,0.024001889884074958,-0.035987256766311565
activity_gap,-0.020820939916716245,-0.01744467775803585,0.014431108139925406
sales_counterparty_count_log,3.7477198546127495,3.733431049981284,-0.008686961098093346
purchase_negative_rate,0.006996149415386636,0.007076345655051271,0.005440952880314798
sales_invoice_count_log,5.840231421440595,5.832535973180993,-0.004688803560393221
