enterprise_id,p_A,p_B,p_C,p_D,cri,rating_predicted,prediction_entropy,risk_loss_coefficient,recommended_rate,customer_loss_rate,unit_expected_benefit,vulnerability,loan_yuan,selected,target_domain_shift_score,transfer_confidence
E124,0.7311413206405045,0.16092961846743206,0.09290726379036236,0.015021797101701083,13.060317911775332,A,0.8067673588799241,0.04060329000927351,0.0985,0.6874703554876431,0.018094438191836773,0.4831677704194261,1000000.0,True,1.0745162720249088,常规
E125,0.8332027761891381,0.09518463129108909,0.06057675905310825,0.011035833466664577,8.31485499324331,A,0.595491563033348,0.03368159651899463,0.0745,0.5041130894526955,0.02024131199566909,0.3181567328918322,1000000.0,True,1.192582545669293,常规
E126,0.8267670708130035,0.08892848168732774,0.06931445612050259,0.014989991379166191,9.084245602194382,A,0.6204487327417934,0.03782524804345149,0.0985,0.6911636560005505,0.018738568567333885,0.42604856512141276,1000000.0,True,0.7439081661261362,常规
E127,0.5713440531102694,0.3059222865175221,0.10282568938100552,0.019907970991202943,19.043252608438067,A,0.9940313321534815,0.0488233178361267,0.0985,0.6784768155333301,0.01597220504306717,0.3984547461368653,1000000.0,True,0.804391523720088,常规
E128,0.06539198975461687,0.44639728969922515,0.4351257827733906,0.0530849377727674,49.19678895214361,B,1.0563141036422157,0.10144049270220852,0.1425,0.8000127520941418,0.008211377864855814,0.4729580573951435,0.0,False,0.7809727468761927,常规
E129,0.7303524126164974,0.0610244506750174,0.18812144082965615,0.020501695878829,16.625747332360557,A,0.7941345090831579,0.04891800935968246,0.0985,0.6823535527905402,0.015749543172469554,0.3222958057395144,1000000.0,True,0.9291567300147479,常规
E130,0.05494021337791165,0.31099800633649494,0.5386680679717922,0.09539371231380116,55.81717597404943,C,1.0800462799985562,0.14490466565800303,0.15,0.8083570948725434,0.0009764846758959951,0.5496688741721854,0.0,False,0.9248949964935135,常规
E131,0.5953569234801256,0.10354152013237715,0.2702962973625571,0.030805259024940163,24.551663064410395,A,1.0043742348157443,0.0641097720199924,0.1225,0.7790978577853568,0.012898526445185077,0.2742825607064017,0.0,False,0.9386640420831689,常规
E132,0.6991788122833564,0.11098433989664785,0.16571077642697551,0.024126071393020185,17.15947023098865,A,0.8819081258190402,0.052233998386852776,0.1225,0.7875385843186056,0.014928814177000403,0.34381898454746135,1000000.0,True,0.7327827941046225,常规
E133,0.09927335085650232,0.33251183234119913,0.35009418874698317,0.21812062805531537,56.23540313337039,C,1.2950076506555066,0.2533265982985102,0.15,0.6994885944870877,-0.03105082128155339,0.5612582781456954,0.0,False,0.7240305485280464,常规
