enterprise_id,p_A,p_B,p_C,p_D,rating_observed,default_observed,cri_oof,rating_predicted,risk_loss_coefficient,recommended_rate,customer_loss_rate,unit_expected_benefit,vulnerability,loan_yuan,selected
E1,0.6392765079012381,0.13512739328132553,0.19429904486922298,0.03129705394821331,A,否,20.587221495480378,A,0.0611624754348985,0.1225,0.7802659026082507,0.013477945596556828,0.5548780487804877,1000000.0,True
E2,0.6789772087877582,0.07847359211071109,0.2152229925849664,0.027326206516564346,A,否,19.696606561011233,A,0.057295561380407534,0.1225,0.7841871274367693,0.014071957202367103,0.2859078590785908,1000000.0,True
E3,0.5049240922658756,0.3808631065497991,0.08660169180214268,0.02761110938218272,C,否,21.22999394335442,A,0.05690980499201459,0.1225,0.7808085950336282,0.014376806995818628,0.502710027100271,1000000.0,True
E4,0.2609150656925787,0.4214221544060474,0.2797890696484986,0.03787371025287522,C,否,36.48738081538901,B,0.07796891159602483,0.1425,0.820466071769224,0.011585519794173134,0.6368563685636855,1000000.0,True
E5,0.23270881837937618,0.5759905879083064,0.16950395133181645,0.021796642380501042,B,否,32.67961392378142,B,0.05977713339225767,0.1225,0.7784844677589625,0.013894089180297641,0.5149051490514904,1000000.0,True
E6,0.7373534705057795,0.14028211429836845,0.10693089044515507,0.01543352475069709,A,否,13.348148981358996,A,0.04132526719535006,0.0985,0.6872030915005215,0.017884079665578218,0.36991869918699183,1000000.0,True
E7,0.6585440453284906,0.13979585123341856,0.17176933659521992,0.02989076684287099,A,否,19.100227498415713,A,0.05869866843837282,0.1225,0.7819862503052558,0.013909567529267971,0.39701897018970195,1000000.0,True
E8,0.6491380534041647,0.08932504163777112,0.22602385569113853,0.03551304926692567,A,否,21.59706336069417,A,0.06597467888055822,0.1225,0.7769359438890214,0.012608767401878242,0.27371273712737126,1000000.0,True
E9,0.6515096593423272,0.12985158464869842,0.18560684239202258,0.03303191361695188,A,否,20.005367009453305,A,0.06225729972098507,0.1225,0.7792388991063393,0.013299244834402178,0.2994579945799458,1000000.0,True
E10,0.2810586942245538,0.4340562071316705,0.2500740396727268,0.03481105897104885,B,否,34.62124877967568,B,0.07369064395589678,0.1425,0.8238816550029257,0.012118589906801893,0.46070460704607047,1000000.0,True
