d2_mm,d4_mm,max_skin_temp_c,duration_above_44_s,final_skin_temp_c,feasible,grid_dx_mm,dt_s
25.0,5.3,45.023047769682236,293.8595401925471,45.023047769682236,True,0.1,1.0
24.8,5.4,45.039467087128,299.3425685121614,45.039467087128,True,0.1,1.0
24.7,5.5,45.01593414937035,295.378582137851,45.01593414937035,True,0.1,1.0
24.6,5.6,44.99288201868433,291.3780030034385,44.99288201868433,True,0.1,1.0
24.4,5.7,45.010009405382945,298.53302447112236,45.010009405382945,True,0.1,1.0
24.3,5.8,44.98767647064288,294.39616680576,44.98767647064288,True,0.1,1.0
24.2,5.9,44.965789408747256,290.2245132527803,44.965789408747256,True,0.1,1.0
24.0,6.0,44.98352703291489,297.056781006327,44.98352703291489,True,0.1,1.0
23.9,6.1,44.96229503871841,294.75224187234676,44.96229503871841,True,0.1,1.0
23.8,6.2,44.94147642878346,290.41476187730495,44.94147642878346,True,0.1,1.0
23.6,6.3,44.959730291448565,298.9295458620172,44.959730291448565,True,0.1,1.0
23.5,6.4,44.93950641492515,294.4625325660462,44.93950641492515,True,0.1,1.0
