d2_mm,d4_mm,max_skin_temp_c,duration_above_44_s,final_skin_temp_c,feasible,grid_dx_mm,dt_s
16.9,5.5,44.150449850803,570.5,44.150449850803,False,0.05,0.5
17.0,5.5,44.14027179200957,532.0,44.14027179200957,False,0.05,0.5
17.1,5.5,44.12998130018681,493.5,44.12998130018681,False,0.05,0.5
17.2,5.5,44.11957836672701,454.5,44.11957836672701,False,0.05,0.5
17.3,5.5,44.1090630279505,415.0,44.1090630279505,False,0.05,0.5
17.4,5.5,44.09843536440965,375.0,44.09843536440965,False,0.05,0.5
17.5,5.5,44.08769550010783,334.5,44.08769550010783,False,0.05,0.5
17.6,5.5,44.0768436017236,293.5,44.0768436017236,True,0.05,0.5
17.7,5.5,44.0658798778439,252.0,44.0658798778439,True,0.05,0.5
17.8,5.5,44.05480457812373,210.0,44.05480457812373,True,0.05,0.5
17.9,5.5,44.04361799245199,167.0,44.04361799245199,True,0.05,0.5
18.0,5.5,44.03232045021077,124.0,44.03232045021077,True,0.05,0.5
18.1,5.5,44.020912318952895,80.5,44.020912318952895,True,0.05,0.5
18.2,5.5,44.00939400438065,36.0,44.00939400438065,True,0.05,0.5
18.3,5.5,43.99776594863298,0.0,43.99776594863298,True,0.05,0.5
