surface,receiver_x_m,receiver_y_m
baseline,1.4913048851747086,-1.6682193154398925
baseline,1.2100469229283888,-2.2702187757725754
baseline,2.2528093067340587,-2.1246947290589318
baseline,2.4133244845365915,-2.9298050660228676
baseline,1.816262827839572,-3.023090738685812
baseline,2.0262974990556395,-3.325583794916512
baseline,2.9961885647885604,-2.2154084422081755
baseline,1.1744667894276466,-2.0931468725013325
baseline,1.466884049044775,-1.4270678995469799
baseline,0.7782085386158987,-3.205372007195857
baseline,1.1531653790993137,-1.7530534317669315
baseline,1.9381067457832963,-2.284156026480237
baseline,0.9266602904348314,-1.8849850443725902
baseline,1.7976306532687698,-2.283410270123511
baseline,1.904024247777381,-3.0588107415336343
baseline,2.377145280240819,-1.2792939716496192
baseline,2.375530037045574,-2.569652722300579
baseline,1.8269022006540712,-2.6713909452082434
baseline,1.5294294785198277,-1.9244882417992555
baseline,2.1934383362029615,-2.643574668469775
baseline,2.8897350748034274,-2.0198111462506385
baseline,3.2771014503906444,-1.859218252694232
baseline,1.389560623981592,-1.7665190008224576
baseline,1.963803463683287,-3.008254764572344
baseline,0.889850120044831,-1.7038457290857818
baseline,1.1960217600401628,-0.9626953807913963
baseline,1.6630233119885587,-3.347165093405433
baseline,1.074901838345187,-1.3476971104653692
baseline,0.4879118488819437,-3.328866073945785
baseline,0.7997662829436534,-1.62116578981445
baseline,1.613599128088495,-2.236314034965596
baseline,0.3215157481861815,-3.3500409553978105
baseline,1.5177620739904618,-2.458092291359891
baseline,0.4148855443641948,-2.0090318256855104
baseline,1.264268604258155,-2.3830190025011997
baseline,1.3192448699635928,-3.1310614734045736
baseline,0.8805522665671428,-1.5136352549569598
baseline,1.7925183234521516,-2.653372471421455
baseline,2.3803562275540093,-0.9166286076178579
baseline,2.268250380657022,-2.076478357561015
baseline,1.7635086941552445,-2.1859445899434595
baseline,2.740898578722057,-0.9143726972884013
baseline,2.2374648422943504,-2.2592670675290587
baseline,1.7561639487735319,-1.549932016979707
baseline,2.4841910004300756,-2.239150671723279
baseline,3.0674576233237874,-1.6823557259480408
baseline,3.460357454928976,-1.4860862364512373
baseline,1.472848294337691,-1.4026550051074982
baseline,2.5192518502171937,-1.593541785473131
baseline,0.9566133854794131,-1.4003161354797393
baseline,1.633510157778777,-2.456843610399515
baseline,0.27463514117115373,-1.0472479115124973
baseline,0.603628748724201,-0.20518621977827167
baseline,1.5442893770742412,-2.859825876709825
baseline,0.732254329580189,-0.6606474745420495
baseline,1.2917718604379647,-3.133111791686846
baseline,0.6454043688141934,-0.9956665587091171
baseline,0.18435060604657647,-3.2277954506693702
baseline,0.43418931588646936,-1.1939227121732583
baseline,1.2984140095363628,-1.9134166438209428
baseline,0.06402056478530659,-3.489465436476024
baseline,1.2593185588265066,-2.415717533327285
baseline,-0.19917553844189867,-3.440067771436084
baseline,1.0408549040109596,-2.5469005735989216
baseline,-0.1585867816495216,-2.07216243940403
baseline,0.7045161175885466,-2.415256158835521
baseline,0.7098218309537189,-3.1585182543240644
baseline,0.29349775095481556,-1.591308408670385
baseline,1.1608870429570446,-2.704378138215454
baseline,0.7620098143841298,-1.021336864276072
baseline,1.6420901435605462,-2.1293100868564996
baseline,2.3186753145379555,-0.42981252826652466
baseline,2.1149810232801873,-1.4958462964252506
baseline,1.636960802710098,-1.6183205147251591
baseline,2.7780658437458037,-0.515650062764847
baseline,2.1929040905743977,-1.7694451426543258
baseline,3.005762750192134,-0.522679181920754
baseline,2.5627010267305206,-1.852272511051677
baseline,1.846185510941298,-1.165428890890655
baseline,2.654227651822026,-1.8392529718386303
baseline,3.0494594149421355,-1.3035468987195296
baseline,3.4490909463467623,-1.0783565531693349
baseline,1.4470350926493953,-1.0437416273070366
baseline,2.4915258234967443,-1.284007428188016
baseline,0.9108192818535138,-1.051766422263336
baseline,1.7500168441430102,-0.9061237469425425
baseline,0.20446078057310857,-0.7492056248447615
baseline,0.9605167472613004,-1.5296540791707276
baseline,-0.7260768915190225,-0.052263225307356775
baseline,-0.38428812917038746,0.8871309970350547
baseline,1.125220313265218,-2.0167974052692625
baseline,0.04505170999046196,0.3167505651344
baseline,1.0628928193876666,-2.3671453215646543
baseline,0.228070113550933,-0.09141824916558017
baseline,0.8687621624984883,-2.5632403866713815
baseline,0.2257980847585816,-0.3546743170837764
baseline,-0.05871320402642681,-2.8331021283890956
baseline,0.0788975321581175,-0.4421254129236627
baseline,0.9778406466498885,-1.2691798461633146
baseline,-0.1328614070573172,-3.3751254989878
baseline,0.9787543980279513,-2.102182739481799
baseline,-0.37974480498769364,-3.536360777792269
baseline,0.8134495834248371,-2.5183169558950844
baseline,-0.7339413754178299,-3.42359426456662
baseline,0.506013815901285,-2.6062626338174764
baseline,-0.7451360683591494,-2.1273050282393586
baseline,0.09926049120304363,-2.406426988533072
baseline,0.05549670526594585,-3.116901736399196
baseline,-0.30678134316037753,-1.6617464728519118
baseline,0.47424344253305484,-2.673463468035122
baseline,0.17125110630173235,-1.082914303554454
baseline,0.9348874112418366,-2.1364526958390253
baseline,0.6455832903837824,-0.44931047988691064
baseline,1.4098053446423067,-1.5112792806032964
baseline,2.1622239161410177,0.1106427603622465
baseline,1.90075516776434,-0.8336685445552221
baseline,1.4691686281148888,-0.9591426035901046
baseline,2.7142207150461286,-0.0539798182348737
baseline,2.110419245224844,-1.16097391229512
baseline,3.0775441614528414,-0.16183254687617557
baseline,2.5540561535688306,-1.3233520742498528
baseline,3.1585778053625333,-0.18543630337025171
baseline,2.763595163407027,-1.4109703221644583
baseline,1.8013129744985155,-0.7913566852422074
