left_node_id,right_node_id,baseline_length_m,adjusted_length_m,relative_change,absolute_relative_change
A0,B1,10.393036028033388,10.390588920612716,-0.00023545645507927482,0.00023545645507927482
A0,C1,10.392815226395589,10.390683003190949,-0.00020516319766994418,0.00020516319766994418
A0,D1,10.392555462445221,10.392364092173048,-1.8414168956315535e-05,1.8414168956315535e-05
A0,E1,10.392815226395589,10.39356001574734,7.16638692719318e-05,7.16638692719318e-05
A0,A1,10.393036028033388,10.391625240144764,-0.00013574357722023755,0.00013574357722023755
B1,C1,12.21588285839382,12.211307367818813,-0.0003745525909216729,0.0003745525909216729
B1,A1,12.2156,12.212327086889077,-0.00026792896877125827,0.00026792896877125827
B1,A3,10.398797888698482,10.394115550383036,-0.0004502768844593108,0.0004502768844593108
B1,B2,10.393149578929378,10.387585041987357,-0.000535404296817088,0.000535404296817088
B1,B3,10.398550891831032,10.39327985941107,-0.0005069006705639145,0.0005069006705639145
C1,D1,12.21557036286067,12.214475255591855,-8.964847618941896e-05,8.964847618941896e-05
C1,B3,10.398545664659071,10.3940406802514,-0.0004332321608185863,0.0004332321608185863
C1,C2,10.3927929172095,10.388481103237911,-0.0004148850079027655,0.0004148850079027655
C1,C3,10.398081408606108,10.395527611868904,-0.00024560268734685753,0.00024560268734685753
D1,E1,12.21557036286067,12.217114479587458,0.00012640561847865328,0.00012640561847865328
D1,C3,10.398455495408921,10.398051548597843,-3.884680866850232e-05,3.884680866850232e-05
D1,D2,10.392991379290178,10.394331434008524,0.00012893830750360102,0.00012893830750360102
D1,D3,10.398455495408921,10.401089404050616,0.0002532980636267279,0.0002532980636267279
E1,A1,12.21588285839382,12.21650915821235,5.126930454313339e-05,5.126930454313339e-05
E1,D3,10.398081408606108,10.401107270304124,0.0002910019242117201,0.0002910019242117201
E1,E2,10.3927929172095,10.396509787887725,0.0003576392513382487,0.0003576392513382487
E1,E3,10.398545664659071,10.40020057719122,0.00015914846032472063,0.00015914846032472063
A1,A3,10.398797888698482,10.396001328861601,-0.0002689310694191649,0.0002689310694191649
A1,E3,10.398550891831032,10.398783236803226,2.2343976060712478e-05,2.2343976060712478e-05
A1,A2,10.393149578929378,10.391170424429975,-0.0001904287515900327,0.0001904287515900327
A3,B2,12.210922626894332,12.203969370753677,-0.0005694292194875494,0.0005694292194875494
A3,A2,12.210922626894332,12.206821595282413,-0.00033584944702591546,0.00033584944702591546
A3,A5,10.420920084618247,10.415626699362981,-0.0005079575711437467,0.0005079575711437467
A3,A6,10.420920084618247,10.41504752374096,-0.0005635357367298477,0.0005635357367298477
B2,B3,12.211311783751981,12.203349731551711,-0.0006520226771102866,0.0006520226771102866
B2,A6,10.415320988332526,10.408030364026956,-0.0006999903616736747,0.0006999903616736747
B2,B4,10.39238180832479,10.385107241059144,-0.0006999903775494198,0.0006999903775494198
B2,B5,10.415570857615055,10.408280058175661,-0.000699990383538518,0.000699990383538518
B3,C2,12.210762392250535,12.203726732188024,-0.0005761851583465649,0.0005761851583465649
B3,B5,10.42079645180732,10.414011526868492,-0.0006510946615457813,0.0006510946615457813
B3,B6,10.420777334249111,10.413992411798313,-0.0006510956172625093,0.0006510956172625093
C2,C3,12.21080012939365,12.206835600505269,-0.0003246739645536012,0.0003246739645536012
C2,B6,10.415653308842419,10.409268570563484,-0.00061299450832486,0.00061299450832486
C2,C4,10.39264132355197,10.386271465529939,-0.0006129200290589942,0.0006129200290589942
C2,C5,10.414906081189596,10.409821148418835,-0.0004882360658003959,0.0004882360658003959
C3,D2,12.211136508941335,12.21166267673575,4.308917470785545e-05,4.308917470785545e-05
C3,C5,10.42089446064972,10.417932794742121,-0.00028420457752276196,0.00028420457752276196
C3,C6,10.421480391959676,10.420120255038643,-0.00013051283213871834,0.00013051283213871834
D2,D3,12.211136508941335,12.214647956958403,0.0002875611139467882,0.0002875611139467882
D2,C6,10.415355663634346,10.416201603389053,8.122043855518513e-05,8.122043855518513e-05
D2,D4,10.392851429708788,10.395181256449941,0.00022417589214196454,0.00022417589214196454
D2,D5,10.415355663634346,10.419301932875703,0.0003788895328016295,0.0003788895328016295
D3,E2,12.21080012939365,12.21592092876493,0.00041936640654305357,0.00041936640654305357
D3,D5,10.421480391959676,10.426036766059337,0.0004372098711786787,0.0004372098711786787
D3,D6,10.42089446064972,10.426502210918342,0.0005381256176997251,0.0005381256176997251
E2,E3,12.210762392250535,12.214806841816028,0.0003312200692775491,0.0003312200692775491
E2,D6,10.414906081189596,10.42082186009699,0.0005680107781362853,0.0005680107781362853
E2,E4,10.39264132355197,10.398907804836739,0.0006029729199417133,0.0006029729199417133
E2,E5,10.415653308842419,10.420092993982482,0.0004262512401689289,0.0004262512401689289
